ETF Symbol,Category
ABSLPSE,Index
ALPL30IETF,Factor
ALPHA,Factor
ALPHAETF,Factor
AUTOBEES,Sectoral
AUTOIETF,Sectoral
BANKBEES,Sectoral
BFSI,Sectoral
BSE500IETF,Index
COMMOIETF,Sectoral
CONSUMBEES,Sectoral
CPSEETF,Index
DIVOPPBEES,Factor
EMULTIMQ,Factor
ESG,Thematic
EVINDIA,Thematic
FINIETF,Sectoral
FMCGIETF,Sectoral
GOLD360,Commodity
GOLDBEES,Commodity
HDFCGROWTH,Factor
HDFCQUAL,Factor
HDFCSML250,Size
HEALTHY,Thematic
HNGSNGBEES,International
ICICIB22,Index
INFRABEES,Sectoral
INFRAIETF,Sectoral
ITBEES,Sectoral
JUNIORBEES,Index
LOWVOLIETF,Factor
MAFANG,International
MAHKTECH,Thematic
MAKEINDIA,Thematic
MASPTOP50,International
METALIETF,Sectoral
MID150BEES,Size
MIDCAP,Size
MIDCAPETF,Size
MIDQ50ADD,Factor
MIDSELIETF,Factor
MIDSMALL,Size
MNC,Thematic
MODEFENCE,Sectoral
MOHEALTH,Sectoral
MOM100,Factor
MOM30IETF,Factor
MOMENTUM50,Factor
MON100,Index
MONIFTY500,Index
MONQ50,Index
MOREALTY,Sectoral
MOSMALL250,Size
MOVALUE,Factor
MULTICAP,Size
NEXT50IETF,Index
NIFTYBEES,Index
NIFTYQLITY,Factor
NV20IETF,Factor
OILIETF,Sectoral
PHARMABEES,Sectoral
PSUBNKBEES,Sectoral
PVTBANIETF,Sectoral
SENSEXIETF,Index
SHARIABEES,Thematic
SILVERBEES,Commodity
SMALLCAP,Size
TNIDETF,Sectoral
TOP100CASE,Index
TOP10ADD,Factor
UTISXN50,Index
VAL30IETF,Factor
